Name,LastName,Telephone,Address,Answer
fabian,bermudez,696506989,"calle alcala 753 08860",compro
luis fabian,bermudez garcia,696506989,calle alcala 19 4-5,compro
Martina,Pavlicova,0949838469,Zahradna 28,Accepted
Hector,Miguel,846151241,calle de la libertad 25,Denied
Monica ,Pavlicova,76637427648,zahradna 2u431,Accepted
Dominika,Pavlicova,98477427648,"zahradna 20,342",Accepted
Luis Fabian,Bermudez Garcia ,696506989,"calle romario 56 2-1, 08860",Accepted
Fabian,Bermudez Garcia,97482937492,"c/ Akdlweuef, dfuweiwo",Accepted
Fabian,Bermudez ,93784e719,c/oehejlsalaihe,accepted
Luis Fabian ,Bermudez Garcia,987364e825,c/ cakurusjfueiw,Accepted
Luis Fabian,Bermudez Garcia,987253628156,c/ castilla y la taca,accepted
Luis Fabian,Bermudez Garcia,936652202,"c/ montserrat roig n4 4-5, 08860",Accepted
fabina ,bermudez,985625612,c/montserrat roig,Accepted
kabsjwslj,jasdjcne,8378462491,jcnajbcbakjs,saisdckwk
fabian,bqwicwajalcj,13e71368737,dasdv jewbjlas,accepted
dgvrbrf,sdvsdvfb,sdrvbwrberb,sbrbcedc,dvdvwveds
kacljadblcj,davGRGHTAEETZ,24354755231,AFDGRHAF<ASFG,grhdfasfaedg
bcikhqkchqa,sacbdoucnqwlk,274982492º86927,jbcoupsncouasbcoi,Accepted
aanjcbedaj,neeunuendcfubs,4363726537,asncjnclnalcjndj,8283776sjjsncdncd
jcosancslk,ascbaucaosncs,ascaujcnsaocna,edvienqoicnpaic,ascjwucnos
